district,village,neighborhood,home,male,female,total
板橋區,126,2512,209822,269540,282911,552451
三重區,119,2555,151271,189835,196309,386144
中和區,93,2998,165494,200481,212273,412754
永和區,62,1249,91011,105381,116620,222001
新莊區,84,1842,154560,203544,213641,417185
新店區,69,1482,127006,145065,156815,301880
土城區,47,1236,87084,116999,120317,237316
蘆洲區,38,727,71317,98722,102299,201021
樹林區,42,1039,66531,91483,92139,183622
鶯歌區,20,434,30051,43235,43037,86272
三峽區,28,608,43006,57882,57648,115530
淡水區,42,697,75867,82111,89228,171339
汐止區,50,1137,87323,97315,102323,199638
瑞芳區,34,426,16193,20267,19884,40151
五股區,20,515,31987,43143,42416,85559
泰山區,17,464,28530,39040,39772,78812
林口區,17,433,42885,52428,55306,107734
八里區,10,195,14754,19289,19321,38610
深坑區,8,239,9616,11848,11815,23663
石碇區,12,107,3379,4220,3470,7690
坪林區,7,78,2518,3603,2936,6539
三芝區,13,254,9506,11885,11199,23084
石門區,9,124,4314,6307,5869,12176
金山區,15,201,7124,10788,11063,21851
萬里區,10,186,7493,11130,11021,22151
平溪區,12,120,2307,2598,2109,4707
雙溪區,12,244,3808,4806,4083,8889
貢寮區,11,202,4381,6326,6087,12413
烏來區,5,43,1879,3112,3226,6338
總計,1032,22347,1551017,1952383,2035137,3987520
